carry-on	বহন অন
attire	বেশভূষা
attic	চিলা
attest	প্রত্যায়ন করা
attentively	অনন্যচিত্তে
attentive	অতন্দ্র
attention	মনোযোগ
attendant	চেড়
attendance	উপস্থিতি
attend	পরিচর্যা করা
attempt	প্রয়াস
attainment	লব্ধি
attainable	অধিগম্য
attain	সাধা
attacker	আক্রমণকারী
attack	আক্রমণ
attachment	ক্রোক
attached	সংযুক্ত
attache case	সহদূত ক্ষেত্রে
attache	সহদূত
attach	জোড়া
atrocity	পাশবিকতা
atrociously	নৃশংসভাবে
atrocious	নৃশংস
atonement	প্রায়শ্চিত্ত
atomic energy	পারমাণবিক শক্তি
atomic bomb	পারমাণবিক বোমা
atomic	পারমাণবিক
atom	পরমাণু
atmospheric	বায়ুমণ্ডলীয়
atmosphere	বায়ুমণ্ডল
ATM	এটিএম
atlas	মানচিত্রাবলী
Atlantic Ocean	অতলান্তিক মহাসাগর
Atlantic	অতলান্তিক
athletics	শরীরচর্চা
athletic	খেলাধুলোর
athlete	ক্রীড়াবিদ
athlete's foot	ক্রীড়াবিদ এর পাদদেশ
atheist	নাস্তিক
atheism	নিরীশ্বরবাদ
ate	ate
at	এ
asylum	আশ্রয়
astutely	astutely
astute	চতুর
AstroTurf	AstroTurf
astronomy	জ্যোতির্বিদ্যা
astronomical	জ্যোতির্বিদ্যা-সংক্রান্ত
astronomer	জ্যোতিষী
astronaut	নভশ্চর
astrology	জ্যোতিষ
astrological	জ্যোতির্বিদ্যা-সংক্রান্ত
astrologer	জ্যোতিষী
astringent	কষাটে
astride	ঘোড়ায় চড়ে
astray	বিপথে
astounding	স্তম্ভিত করে এমন
astound	বিস্ময়াভিভূত করা
astonishment	আশ্চর্য
astonishingly	astonishingly
astonishing	বিস্ময়কর
astonished	বিস্মিত
astonish	চমত্কৃত করা
asthmatic	হাঁপানিসংক্রান্ত
asthma	এজমা
asteroid	গ্রহাণু
asterisk	তারকা
assuredly	নিশ্চয়
assured	আশ্বস্ত
assure	নিশ্চিত করা
assurance	বিমা
assumption	ধৃষ্টতা
assume	অনুমান
asst.	Asst .
assortment	রকমারি মাল
assorted	হরেক
association	সমিতি
associate professor	সহযোগী অধ্যাপক
associate degree	সহযোগী ডিগ্রী
associate	সহযোগী
assoc.	অ্যাসো .
assn.	Assn .
assistant professor	সহকারী অধ্যাপক
assistant	সহায়ক
assistance	সহায়তা
assist	সহায়তা
assimilation	আত্তীকরণ
assimilate	অঙ্গীভূত করা
assignment	নিয়োগ
assign	দায়িত্ব অর্পণ করা
asshole	asshole
asset	সম্পদ
assessment	মূল্যায়ন
assess	পরিমাপ করা
assertiveness	দৃঢ়তাসূচনা
assertive	জিদপূর্ণ
assertively	আক্রমনাত্মক
assertion	কথন
assert	জাহির করা
assent	সম্মতি
assemblywoman	Assemblywoman
assemblyman	এসেম্বলির
assembly line	অ্যাসেম্বলি লাইন
assembly	সমাবেশ
assemble	জুটা
assault	হামলা
assassination	গুপ্তহত্যা
assassinate	গুপ্তহত্যা করা
assassin	গুপ্তঘাতক
assailant	আততীয়
ass	গাধা
aspiring	উচ্চাকাঙ্ক্ষী
aspirin	এসপিরিন
aspire	উচ্চাভিলাষী হত্তয়া
aspiration	শ্বাসাঘাত
asphyxiation	asphyxiation
asphyxiate	শ্বাসরোধ করা
asphalt	পিচ
aspersion	কুত্সা
aspect	দৃষ্টিভঙ্গি
asparagus	শতমূলী
asleep	ঘুমন্ত
askew	তির্যগ্ভাবে
askance	তেরছা
ask	জিজ্ঞাসা করা
aside from	সরাইয়া থেকে
aside	একপাশে
Asian-American	এশিয়ান - আমেরিকান
Asian	এশিয়ান
Asia	এশিয়া
ashtray	চুরূট প্রভৃতির ছাই রাখার পাত্রবিশেষ
ashore	ডাঙায়
ashes	খাক
ashen	ছাইরঙা
ashamed	লজ্জিত
ash	ছাই
asexual	অযৌন
ascribe	আরোপ করা
ascetic	তপস্বী
ascertain	অবধারণ করা
ascent	চড়াই
ascending	ঊর্ধ্বগামী
ascendancy	উদয়
ascend	আরোহণ করা
asbestos	অ্যাসবেসটস
ASAP	যত শীঘ্র সম্ভব
as	হিসাবে
artwork	শিল্পকর্ম
artsy	artsy
arts	শিল্পকলা
artistry	শিল্পদক্ষতা
artistically	সুকৌশলে
artistic	শিল্পিসুলভ
artist	শিল্পী
artisan	শিল্পী
artillery	কামান
artificial respiration	কৃত্রিম শ্বসন
artificially	কৃত্রিম
artificial intelligence	কৃত্রিম বুদ্ধিমত্তা
artificial insemination	কৃত্রিম প্রজনন
artificial	কৃত্রিম
artifact	হস্তনির্মিত বস্তু
articulation	স্পষ্ট উচ্চারণ
articulately	articulately
articulate	গ্রন্থিবদ্ধ
article	প্রবন্ধ
artichoke	আর্টিচোক
arthritis	বাত
arthritic	বাত
artery	ধমনী
arterial	ধামনিক
art	শিল্প
arsonist	arsonist
arson	অগ্নিসংযোগ
arsenic	সেঁকোবিষ
arsenal	সহায়
arrow	তীর
arrogantly	উদ্ধতভাবে
arrogant	অহংকারী
arrogance	দাম্ভিকতা
arrive	ঘটা
arrival	আগমন
arrest	গ্রেপ্তার
arrears	বকেয়া
array	শ্রেণীবিন্যাস
arrangement	বিন্যাস
arrange	ব্যবস্থা করা
arraignment	দোষারোপ
arraign	দোষ দেত্তয়া
arouse	জাগানো
arousal	arousal
aromatic	সৌরভযুক্ত
around-the-clock	কাছাকাছি-ঘড়ি
around	কাছাকাছি
arose	পড়েছিল
aroma	সুবাস
army	সেনা
arms	অস্ত্র
armpit	বগল
armory	অস্ত্রাগার
armored	সাঁজোয়াযুক্ত
armor	বর্ম
armistice	যুদ্ধবিরতি
armhole	armhole
armful	খাদা-ভরা
armed forces	সশস্ত্র বাহিনী
armed	সশস্ত্র
armchair	আরামকেদারা
armband	armband
armaments	যুদ্ধোপকরণ
armadillo	সাঁজোয়া জাহাজ
arm	হাত
arithmetic	পাটীগণিত
aristocratic	সম্ভ্রান্ত
aristocrat	সম্ভ্রান্ত ব্যক্তি
aristocracy	অভিজন
arisen	উদিত
arise	উঠা
Aries	মেষরাশি
arid	অনুর্বর
aria	গীত
argumentative	বিতর্কমূলক
argument	যুক্তি
argue	তর্ক করা
arguably	তর্কসাপেক্ষ
arguable	তর্কসাপেক্ষ
aren't	না
arena	রঙ্গভূমি
area code	এরিয়া কোড
area	ক্ষেত্র
are	হয়
arduous	শ্রমসাধ্য
ardor	ব্যগ্রতা
ardently	প্রখরভাবে
ardent	জ্বলন্ত
Arctic Circle	সুমেরুবৃত্ত
arctic	উত্তর মেরু সঙক্রান্ত
Arctic	উত্তর মেরু সঙক্রান্ত
archway	ধনুকাকৃতি ছাদে ঢাকা পথ
archive	আর্কাইভ
archives	নথিপত্র
architecture	স্থাপত্য
architectural	নির্মাণকৌশল সংক্রান্ত
architect	স্থপতি
archipelago	দ্বীপমালা
arched	নমিত
archbishop	বিশপদের অব্যবহিত ঊর্ধ্বতন যাজকবিশেষ
archaic	প্রাচীন
archaeology	পুরাতত্ত্ব
archaeologist	প্রত্নতত্ত্ববিৎ
archaeological	প্রত্নতাত্ত্বিক
arch	খিলান
arcade	তোরণ
arc	চাপ
arbitrator	সালিস
arbitration	সালিসি
arbitrate	মধ্যস্থতা করা
arbitrary	অবাধ
arbitrarily	ইচ্ছামত
arbiter	সালিশ
arable	আবাদী
Arabic	আরবি
Arab	আরব
aqueduct	নালা
aquatic	জলজ
Aquarius	কুম্ভরাশি
aquarium	অ্যাকোয়ারিয়াম
aquaria	Aquaria
aptly	যথাযোগ্যভাবে
aptitude test	তত্পরতা পরীক্ষা
aptitude	তত্পরতা
apt.	কার্যক্ষম .
apt	কার্যক্ষম
apron	পরিচ্চদ-রক্ষক বহিরাবরণ
April Fools' Day	এপ্রিল ফুল ' দিবস
April	এপ্রিল
apricot	খুবানি
Apr.	এ
approximation	পড়তা
approximately	আন্দাজ
approximate	আনুমানিক
approx.	প্রায়.
approvingly	সপ্রশংসভাবে
approving	অনুমোদন
approve	অনুমোদন করা
approval	অনুমোদন
appropriation	গ্রাস
appropriately	উপযুক্তভাবে
appropriate	যথাযথ
approbation	অনুমোদন
approach	অভিগমন
apprise	অবগত করান
apprenticeship	শিক্ষানবিসি
approachable	অভিগম্য
apprentice	শিক্ষানবিস
apprehensive	গ্রেফ্তার করে এমন
apprehension	আশঙ্কা
apprehend	ধরা
appreciatively	উপলব্ধি
appreciative	রসিক
appreciation	উপচয়
appreciate	তারিফ করা
appreciable	উপলব্ধিজনক
appraise	মূল্যাবধারণ করা
appraisal	গুণগ্রাহিতা
apportion	অংশভাগ করা
appointment	এপয়েন্টমেন্ট
appointee	কর্মে নিযুক্তি ব্যক্তি
appointed	নিযুক্ত
appoint	চাকরিতে বহাল করা
apply	প্রয়োগ করা
applied	ফলিত
applicator	প্রলেপক
application	আবেদন
applicant	আবেদক
applicable	প্রযোজ্য
appliance	প্রয়োগ
applesauce	আজেবাজে কথা
apple cider	আপেল সিডার
apple	আপেল
applause	সাধুবাদ
applaud	তারিফ করা
appetizing	মুখরোচক
appetizer	এপেটাইজার
appetite	ক্ষুধা
appendix	উপাঙ্গ
appendicitis	আন্ত্রিক রোগবিশেষ
appendices	পরিশিষ্টের
appendage	উপাঙ্গ
append	যুক্ত করা
appeasement	তুষ্টি
appease	শান্ত করা
appearance	চেহারা
appear	প্রদর্শিত
appealing	মর্মস্পর্শী
appeal	আপীল
apparition	আবির্ভাব
apparently	স্পষ্টত
apparent	আপাত
apparel	পোশাক
apparatus	যন্ত্রপাতি
appallingly	appallingly
appalling	আতঙ্কজনক
appall	ভীত করা
apostrophe	অক্ষর বাদ দেত্তয়ার চিহ্ন
apostolic	প্রচারের জন্য প্রেরিত ব্যক্তি-সম্বন্ধীয় ভাববাদিতুল্য
apostle	দূত
apoplexy	সন্ন্যাসরোগ
apoplectic	বিবশ
apology	কৈফিয়ৎ
apologize	ক্ষমাপ্রার্থী
apologetically	apologetically
apologetic	কৈফিয়তমূলক
apolitical	অরাজনৈতিক
apocalyptic	রহস্যদঘাটন
apocalypse	রহস্যোদ্ঘাটন
aplomb	আত্মবিশ্বাস
apiece	জনপ্রতি
aphrodisiac	কামোদ্দীপক
aphorism	সূত্র
apex	চূড়া
aperture	রন্ধ্র
aperitif	এপারিটিফ
ape	উল্লুক
apathy	ঔদাসীন্য
apathetic	উদাসী
apartment building	অ্যাপার্টমেন্ট বিল্ডিং
apartment	কামরা
apartheid	জাতিবিদ্বেষ
apart from	বাদে
apart	পৃথক্
anywhere	কোথাও
anyway	সকল অবস্থাতেই
anytime	যে কোন সময়
anything	কিছু
anyone	কেউ
anyplace	anyplace
anymore	আর
anyhow	যে কোন উপায়ে
anybody	কেহ
any	কোন
anxiously	জোরে
anxious	উদ্বিগ্ন
anxiety	উদ্বেগ
anvil	নেহাই
anus	মলদ্বার
antonym	বিপরীতার্থক শব্দ
antler	হরিণের সশাখ শৃঙ্গ
antitrust	antitrust
antithesis	বৈপরীত্য
antisocial	অসামাজিক
antiseptic	বীজবারক
anti-Semitism	ইহুদিবিদ্বেষ
anti-Semitic	বিরোধী সেমিটিক
antiquity	অনাদিকাল
antique	এন্টিকের
antiquated	অপ্রচলিত
antiperspirant	antiperspirant
antipathy	বিদ্বেষ
antihistamine	antihistamine
antifreeze	জমাটবিরোধী পদার্থ
antidote	প্রতিষেধক
antics	রঙ্গভঙ্গ
anticlimax	ভাবাবরোহ
anticlimactic	anticlimactic
anticipation	প্রতীক্ষা
anticipate	কহা
antibody	অ্যান্টিবডি
antibiotic	জীবাণু-প্রতিরোধী
anthropology	নৃবিদ্যা
anthropologist	নৃবেজ্ঞানী
anthropological	নৃতাত্ত্বিক
anthology	সংহিতা
anthill	উইঢিবি
anthem	স্তব
antennae	এন্টেনা
antenna	শুঙ্গ
antelope	হরিণবিশেষ
antebellum	antebellum অফ
ante	পূর্ব
Antarctica	এন্টার্কটিকা
Antarctic	দখিনা
antagonize	প্রতিকূলতা করা
antagonistically	antagonistically
antagonistic	পরস্পরবিরোধী
antagonist	প্রতিদ্বন্দ্বী
antagonism	শত্রুতা
antacid	অম্লনাশক
ant	পিপীলিকা
answering machine	উত্তর মেশিন
answerable	দায়ী
answer	উত্তর
another	অন্য
anorexic	অনাগ্রহী
anorexia	ক্ষুধাহীনতা
anonymously	বেনামে
anonymous	নামবিহীন
anonymity	অপ্রকাশিতনামা অবস্থা
anomalous	ব্যতিক্রমী
anoint	লেপা
annulment	রদ
annul	রদ করা
annuity	বার্ষিক
annually	সালিয়ানা
annual	বার্ষিক
annoying	বিরক্তিকর
annoyed	উত্ত্যক্ত
annoyance	বিরক্তি
annoy	বিরক্ত করা
announcer	ঘোষক
announcement	ঘোষণা
announce	ছাপানো
annotated	সটীক
anniversary	বার্ষিকী
annihilation	নাশ
annihilate	ধ্বংস করা
annexation	আত্মসাৎ
annex	বর্ধন
annals	কাহিনী
ankle	গোড়ালি
animosity	শত্রুতা
animation	অ্যানিমেশন
animated	প্রাণবন্ত
animate	সজীব
animal	পশু
angular	কৌণিক
anguished	ক্লেশিত
anguish	যন্ত্রণা
angst	উদ্বেগ
angry	ক্রুদ্ধ
angrily	ক্রুদ্ধ
Anglo	অ্যাংলো
angling	মৎস শিকার
Anglican	বিলাতী
angler	ছিপ দিয়ে মাছ
angle	কোণ
anger	রাগ
angelically	জামাল
angelic	দেবদূতোপম
angel	দেবদূত
anew	নতুনভাবে
anesthetize	বেদনাহীন করা
anesthetist	অবেদনিক প্রযোগকারী
anesthetic	অবেদনিক
anesthesiologist	অ্যানেসথিসিয়াবিদ
anesthesia	অবেদন
anemic	রক্তহীন
anemia	রক্তাল্পতা
anecdote	গপ্প
anecdotal	অকল্পনীয়
and	এবং
ancient	প্রাচীন
anchovy	হেরিং-জাতীয় ক্ষুদ্র মত্স্যবিশেষ
anchorwoman	anchorwoman
anchorman	Anchorman
anchor	নোঙ্গর
ancestry	পূর্বপুরুষগণ
ancestral	পৈতৃক
ancestor	পূর্বপুরুষ
anatomy	শারীরস্থান
anatomical	শারীর
anarchy	অরাজকতা
anarchist	নৈরাজ্যবাদী
analyze	বিশ্লেষণ করা
analytic	বিশ্লেষণমূলক
analyst	বিশ্লেষক
analysis	বিশ্লেষণ
analyses	বিশ্লেষণ
analogy	উপমা
analogous	অনুরূপ
analgesic	বেদনানাশক
anal	পায়ুসংক্রান্ত
anagram	এক বাক্যাংশের বর্ণসমূহের স্থানপরিবর্তনদ্বারা ভিন্ন শব্দ গঠন
anachronistic	anachronistic
anachronism	কালবৈষম্য
an	একটি
amusing	মজাদার
amusement park	চিত্তবিনোদন পার্ক
amusement	চিত্তবিনোদন
amused	আমোদিত
amuse	আহ্লাদিত করা
amputee	amputee
amputation	অঙ্গচ্ছেদ
amputate	নেত্তয়া
amply	কানায় কানায়
amplify	প্রশস্ত করা
amplifier	পরিবর্ধক
amplification	বিকাস
ample	প্রশস্ত
amphitheater	অ্যামি্পথিয়েটার
amphibious	উভচর
amphibian	উভচর
amphetamine	অ্যাম্ফিটামিন
ampere	বিদ্যুত্প্রবাহের একক
amp	রহমান
amount	পরিমাণ
amorphous	নিরাকার
amorous	কামার্ত
amoral	অনৈতিক
amongst	মধ্যে
among	মধ্যে
amok	ক্ষিপ্তবৎ
amoeba	জীবাণুবিশেষ
amnesty	রাজক্ষমা
amnesiac	স্মৃতিভ্রষ্ট
amnesia	স্মৃতিবিলোপ
ammunition	গুলি
ammonia	হাইড্রোজেন ত্ত নাইট্রোজেন গ্যাসের মিলনে গ্যাসীয়
ammo	গোলাবারুদ
amiss	পথভ্রষ্ট
amidst	অন্তরে
amid	অভান্তরে
amicably	আপসে
amicable	বন্ধুত্বপূর্ণ
amiably	অমায়িকভাবে
amiable	বন্ধুভাবাপন্ন
Americanism	মার্কিনিপনা
American Indian	আমেরিকান ভারতীয়
American dream	আমেরিকান স্বপ্ন
Americana	আমেরিকানা
American	মার্কিন
America	আমেরিকা
amenity	বিনয়
amends	ক্ষতিপূরণ
amendment	সংশোধন
amend	সংশোধন করা
amenable	এক্তিয়ারভুক্ত
amen	তথাস্তু
amelioration	উন্নয়ন
ameliorate	উন্নত করা
ambush	ত্তৎ পাতা
ambulance	অ্যাম্বুলেন্স
amble	স্বচ্ছন্দগতি
ambivalent	পরস্পরবিরোধী
ambivalence	বিরোধ
ambitiously	ambitiously
ambitious	উচ্চাকাঙ্ক্ষী
ambition	উচ্চাকাঙ্ক্ষা
ambiguously	ambiguously
ambiguous	দ্ব্যর্থক
ambiguity	অস্পষ্টতা
ambidextrous	সব্যসাচীর ন্যায় গুণবিশিষ্ট
ambiance	ambiance
amber	অ্যাম্বার
ambassadorial	রাষ্ট্রদূতসংক্রান্ত
ambassador	রাষ্ট্রদূত
amazingly	amazingly
amazing	আশ্চর্যজনক
amazement	আশ্চর্য
amazed	বিস্মিত
amaze	স্তম্ভিত করা
amateurish	অপেশাদারী
amateur	অপেশাদার
amass	সমাবেশ করা
amalgamation	মিশ্রণ
amalgamate	জোড়া লাগানো
A.M.	সকাল
am	am
AM	অপরাহ্ণ
always	সর্বদা
alumnus	প্রাক্তন ছাত্র
alumni	প্রাক্তন ছাত্র
alumnae	alumnae
alumna	alumna
aluminum	অ্যালুমিনিয়াম
altruistic	পরার্থপর
altruism	পরার্থপরতা
altogether	পুরাপুরি
alto	সরু
altitude	উচ্চতা
although	যদিও
alternatively	অন্যথায়
alternative	বিকল্প
alternation	পরিক্রমণ
alternately	অথবা
alternate	একান্তর
altercation	ঝগড়াঝাঁটি
alteration	নড়চড়
alter	পরিবর্তন করা
altar	বেদি
also	এছাড়াও
alright	ঠিক হ্যায়
already	ইতিমধ্যে
alpine	অত্যুচ্চ
alphabetically	বর্ণানুক্রমে
alphabetical	বর্ণানুক্রমিক
alphabet	বর্ণমালা
aloud	সশব্দে
aloof	নির্লিপ্ত
alongside	পাশাপাশি
along	বরাবর
alone	একা
aloha	Aloha
aloft	শূন্যে
alms	ভিক্ষা
almost	প্রায়
almond	বাদাম
almighty	সর্বশক্তিমান
