hallucination	দৃষ্টিভ্রম
halo	জ্যোতিশ্চক্র
halt 1	বিরতি
halt 2	ইতস্তত করা
halter	ঘোড়ার গলার দড়ি
halve	দুই ভাগে ভাগ করা
halves	----
halyard	পাল বা পতাকা টাঙানো বা নামানো দড়ি
ham	লবণ মাখিয়ে শুকানো বা আগুনে ঝলসানো শূকরের রান
hamadryad	যে গাছে বাস করে সেই গাছের সঙ্গেই একত্রে মারা যায় এমন বনপরী
hamburger	গোল পিঠার আকারে ভাজা গোমাংসের কিমা/কুচি
hamlet	(বিশেষত মসজিদ, মন্দির বা গির্জা নেই এমন) ছোট গ্রাম
hammer	হাতুড়ি
hammock	জাহাজে বা বাগানে ব্যবহৃত চট বা দড়ির তৈরি দোলনা-বিছানা
hamper 1	প্যাকিং বাক্স বা বিশেষত খাবার পাঠানোর জন্য ব্যবহৃত ঢাকনা লাগানো ঝুড়ি
hamper 2	বাধা দেওয়া
halitosis	দুর্গন্ধযুক্ত শ্বাস
hall	সভাকক্ষ
hang 2	ঝুলে থাকা
hang 1	ঝোলার ধরন
handy	হাতের কাজে পটু
handsome	সুশ্রী
handloom	 হাতে চালিয়ে কাপড় বোনা যায় এমন যন্ত্র; তাঁত
hand kerchief	রুমাল
handle	হাতল
handiwork	হাতের কাজ
handicraft	হস্তশিল্প
handicap	শক্তিসাম্য রক্ষার জন্য প্রতিযোগীর উপর আরোপিত প্রতিবন্ধক বা বাধা, যথা হাত-বাঁধা দৌড়
hand 2	হাত বাড়িয়ে সাহায্য করা
halibut	এক ধরনের সামুদ্রিক মাছ
half-birthday	কোনো ব্যক্তির জন্মদিনের ঠিক ছয় মাস আগের বা পরের দিনটি
half	অর্ধেক
halcyon	শান্ত
hale	স্বাস্থ্যবান
hakim	বিচারক
hake	খাদ্য হিসেবে ব্যবহৃত কডজাতীয় মাছ
hair	চুল
hail 1	শিলাবৃষ্টি
hail 2	সম্ভাষণ জানানো
haha	পার্ক বা বাগান ঘিরে রাখা খুব নিচু দেওয়াল বা বেড়া
Haji	হজব্রত পালনকারী মুসলমান
hagiology	সাধু মহাপুরুষদের জীবনকাহিনি ভিত্তিক উপাখ্যানসমগ্র
haggle	দরকষাকষি করা
haggard	বিশেষত দুশ্চিন্তা, অনিদ্রা ইত্যাদির ফলে চোখমুখ বসে গেছে এমন
haggis	ভেড়ার মাংস দিয়ে বিশেষভাবে তৈরি স্কটদেশীয় এক ধরনের খাবার
E, e	ইংরেজি বর্ণমালার পঞ্চম বর্ণ
each	প্ৰত্যেক
eager	উৎসুক
eagle	ঈগলপাখি
eagre	নদীতে হঠাৎ বন্যা আসা
ear 1	কান
ear 2	শিষ
earl	উচ্চ মর্যাদাসম্পন্ন সম্ভ্রান্ত ইংরেজ ব্যক্তির পদবি
early	নির্ধারিত বা যথাসময়ের পূর্বে
earn	উপার্জন করা
earnest 1	অত্যন্ত
earnest 2	বায়না
earth	পৃথিবী
earthen	মাটির তৈরি
earthly	পার্থিব
earthquake	ভূমিকম্প
earthshaking	জগৎকাঁপানো
earwig	পেটের নিচের দিকে চিমটাওয়ালা ক্ষুদ্রপোকাবিশেষ
earworm	সংগীতের অনুরণন কানে যতক্ষণ বাজে বা মস্তিষ্কে যতক্ষণ স্থায়ী হয়
ease 1	আরাম
ease 2	আরাম দেওয়া
easel	ছবি আঁকার সময় চিত্রকররা যে ফ্রেমের উপর ছবি রাখে
east	পূর্বদিক
Easter	খ্রিস্টান ধর্মমতে কবর থেকে যিশুর পুনরুত্থান উপলক্ষে ২১ শে মার্চ বা তৎপরবর্তী রবিবারে যে অনুষ্ঠান পালিত হয়
easterly	পূর্বদিকস্থ
eastern	পূর্বদিকের
easy	সহজ
eat	খাওয়া
eau	জার্মানির কোলন নগরীতে তৈরি সুগন্ধিবিশেষ
eaves	ছাদ বা চালের প্রান্তভাগ
eavesdrop	আড়িপাতা
ebb	ভাটা পড়া
ebola	ইবোলা ভাইরাস ডিজিজ, ইবোলা হেমোরেজিক ফিভার, ইবোলা অথবা এবোলা হল ইবোলা ভাইরাসঘটিত প্রাণঘাতী মনুষ্য রোগ।
ebonite	কঠিনকৃত কালো রাবারবিশেষ
ebony	আবলুস কাঠ
e-book	ইলেকট্রনিক বুক এর সংক্ষেপ
ebullient	উচ্ছ্বসিত
eccentric	(কোনো ব্যক্তি বা তার আচরণ) অদ্ভুত
eccentricity	খামখেয়ালিপনা
ecclesiastic	পুরোহিত
echelon	ক্ষমতা বা দায়িত্বের স্তর
echo 1	প্রতিধ্বনি
echo 2	(স্থান সম্বন্ধে) প্রতিধ্বনি করা বা হওয়া
éclat	জাঁকজমক
eclectic	সমস্ত কিছুর মধ্য থেকে ভালো বেছে নেয় এমন
eclipse	গ্রহণ
ecliptic	আকাশে সূর্যের পরিক্রমণপথ
ecocide	ইচ্ছাকৃত বা জেনেবুঝেই পরিবেশদূষণ অথবা যুদ্ধ বাধিয়ে প্রাকৃতিক পরিবেশের ক্ষতিসাধন
ecofriendly	স্বাভাবিক প্ৰকৃতিপরিবেশ বা এটার অধিবাসীদের কোনো ক্ষতি করে না এমন
ecology	বাস্তব্যবিদ্যা
economic	অর্থনীতিসংক্রান্ত
economical	হিসাবি
economics	অর্থনীতি
economy	অপব্যয় পরিহার
economy-class syndrome	দীর্ঘ ভ্রমণকালে বিমানের আসনে বসে থাকতে থাকতে রক্ত চলাচলে সমস্যা সৃষ্টি হওয়াই ইকোনমি ক্লাস সিনড্রোম
ecosexual	পরিবেশগত বিষয়ে যার রয়েছে প্ৰবল আগ্রহ
ecosystem	গাছপালা; পশুপাখির সঙ্গে তাদের প্রাণহীন পরিপার্শ্বের পারস্পরিক ক্রিয়া
eco-terrorism	ব্যক্তি বা প্রতিষ্ঠানের কর্মকাণ্ডে পরিবেশের ভয়াবহ বিপর্যয়
e-cruitment	অনলাইনে কর্মচারী নিয়োগ ও দরখাস্তগ্রহণ
ecstasy	পরমানন্দ
ectoplasm	সাধনার উচ্চতম স্তরে (সমাধি) সাধকের দেহ থেকে নির্গত কল্পিত আধ্যাত্মিক বস্তু
ecumenical	সমগ্র খ্রিস্টজগতের প্রতিনিধিত্বমূলক
eczema	চুলকানিযুক্ত চর্মরোগ
eddy	কুণ্ডলী
eden	নন্দনকানন
edge 1	ছুরি
edge 2	সীমানা চিহ্নিত করা
edgeways, edgewise	কিনার ঘেঁষে
edging	(পোশাকের) ঝালর
edible	ভোজ্য
edict	ডিক্রি; অধ্যাদেশ
edification	মানসিক অথবা নৈতিক উন্নতি
edifice	প্রাসাদ
edify	নৈতিক অথবা মানসিক উন্নতিসাধন করা
edit	সম্পাদনা করা
edition	সংস্করণ
editor	সম্পাদক
editorial	সম্পাদকীয়
educate	শিক্ষাদান করা
education	শিক্ষা
edutainment	শিক্ষাবিনোদন
Eedgah	Idgah
eel	বাইম বা বানমাছ
eerie, eery	রহস্যজনক
efface	মুছে ফেলা
effect	ফলাফল
effective	ফলপ্ৰসূ
effectual	(ব্যক্তির ক্ষেত্রে প্রযোজ্য নয়) সার্থক
effeminate	(পুরুষদের ক্ষেত্রে, নিন্দার্থে) মেয়েলি (স্বভাবের)
effendi	শিক্ষিত অথবা ক্ষমতাশালী ব্যক্তি
effervesce	বুদ্বুদ নির্গত করা
effete	জীর্ণ
efficacious	(ব্যক্তির ক্ষেত্রে ব্যবহৃত হয় না) ঈপ্সিত ফল দিতে সক্ষম।
efficient	সুদক্ষ
effigy	কোনো ব্যক্তির পুত্তলিকা
efflorescence	পুষ্পবিকাশ
effluent	স্রোতোধারা
efflux	গ্যাস/তরল পদার্থের উৎসরণ
effort	প্রচেষ্টা
effrontery	ঔদ্ধত্য
effusion	(তরল পদার্থের, যেমন রক্তের) উৎসরণ
effusive	উচ্ছ্বাসপ্রবণ
eft	গোসাপ
egalitarian	সমতাবাদী
egest	দেহের ভেতর থেকে বের করা
egg 1	ডিম
egg 2	egg somebody on প্ররোচিত করা
eglantine	একজাতীয় গোলাপফুল
ego	অহংবোধ
egocentric	আত্মকেন্দ্রিক
egoism	নিজেকে অন্যের চেয়ে শ্রেষ্ঠতর বা অধিকতর গুরুত্বপূর্ণ মনে করার মানসিকতা
egotism	আত্মপ্রচার
egregious	কুখ্যাত
egress	প্ৰস্থান
egret	পিঠ ও লেজে সুন্দর ও লম্বা পালকবিশিষ্ট এক প্রকারের সারস পাখি
Egyptian	মিসরীয়
eh	বিস্ময়
Eid	----
eiderdown	তুলতুলে পালকভরা লেপ বা তোশক
eight	আট
eightsome	আট শিল্পীর স্কটিশ নাচবিশেষ
einsteinium	প্লুটোনিয়াম থেকে কৃত্রিমভাবে নির্মিত অথবা হাইড্রোজেন বোমা বিস্ফোরণের পর প্রাপ্ত ধাতব পদার্থ
either	দুয়ের যেকোনো একটি
ejaculate	আচমকা ও সংক্ষেপে বলা
eject	কাউকে স্থানত্যাগে বাধ্য করা
eke	যৎসামান্য দিয়ে সহায়তা করা
ekphrasis	কোনো বস্তু বিশেষ কোনো শিল্পকর্ম সম্বন্ধে পরিষ্কার অথচ দৃঢ় নিজস্ব মতামত অথবা চিত্রগত প্রাঞ্জল বর্ণনা
elaborate	বিস্তারিত
élan	উৎসাহ
elapse	অতিক্রান্ত হওয়া
elastic	নমনীয় ও স্থিতিস্থাপক
elate	অনুপ্রাণিত হওয়া
elbow	কনুই
elder 1	জ্যেষ্ঠ
elder 2	সাদা ফুল এবং লাল ফলের গুচ্ছবিশিষ্ট ঝোপ অথবা ছোট গাছ
elderly	বয়োজ্যেষ্ঠ
eldest	জ্যেষ্ঠতম
El Dorado	কল্পিত স্বর্ণভূমি
elect 1	নির্বাচিত
elect 2	(ভোটের মাধ্যমে) নির্বাচিত করা
election	নির্বাচন
elective	নির্বাচনের ক্ষমতাসম্পন্ন
elector	ভোটার
electric	বৈদ্যুতিক
electrical	বিদ্যুৎসংক্রান্ত
electrician	বিদ্যুৎমিস্ত্রি
electricity	বিদ্যুৎ
electrify	বিদ্যুতায়িত করা
electro	বিদ্যুৎ
electrocute	বিদ্যুৎস্পৃষ্ট করে মারা
electrode	বিদ্যুদ্বাহ
electrolysis	তড়িৎবিশ্লেষ
electron	ইলেকট্রন
electronics	ইলেকট্রনিক্স হচ্ছে তড়িৎপ্ৰকৌশলের এমন একটি শাখা যেখানে ভ্যাকিউম টিউব
eleemosynary	ভিক্ষাসংক্রান্ত
elegant	রুচিশীল
elegiac	শোকগাথা রচনার উপযুক্ত
elegy	শোকগাথা
element	উপাদান
elementary	প্রাথমিক
elephant	হাতি
elevate	উত্তোলন করা
elevation	মানোন্নয়ন
elevator	শস্য তোলার যন্ত্র
eleven	এগারো
elf	বেঁটে মানুষের আকৃতিসম্পন্ন ভূত
elicit	কোনো কিছু টেনে বের করা অথবা কাউকে কোনো কিছু প্রকাশে বাধ্য করা
elide	ধ্বনি অথবা অক্ষর লোপ করা
eligible	উপযুক্ত
eliminate	বর্জন করা
élite	অভিজাত
elixir	পরশমণি
Elizabethan	এলিজাবেথীয়
